订单编号,订单状态,下单时间,支付时间,发货时间,商品型号,商品件数,商品ID,SKU ID
"	819555370554651",已完成,11/5/2022 15:33,11/5/2022 15:33,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819555496384702",已完成,11/5/2022 15:33,11/5/2022 15:42,11/6/2022 0:46,桃木褐30号,1,5730170770,85770385833
"	819546628305751",已完成,11/5/2022 15:20,11/5/2022 15:20,11/6/2022 0:46,狐狸灰36号,1,5730170770,85770539838
"	819554983462312",已完成,11/5/2022 15:18,11/5/2022 15:18,11/6/2022 0:46,桃木褐36号,1,5730170770,85770385839
"	819555062976087",已关闭,11/5/2022 15:17,11/5/2022 15:18,,狐狸灰36号,1,5730170770,85770539838
"	819546513957862",已完成,11/5/2022 15:16,11/5/2022 15:20,11/6/2022 0:46,桃木褐32号,1,5730170770,85770385835
"	819554998489001",已完成,11/5/2022 15:14,11/5/2022 15:14,11/6/2022 0:46,桃木褐32号,1,5730170770,85770385835
"	819547088200823",已完成,11/5/2022 15:14,11/5/2022 15:14,11/6/2022 17:26,桃木褐32号,1,5730170770,85770385835
"	819547025467245",待发货,11/5/2022 15:12,11/5/2022 15:13,,桃木褐34号,1,5730170770,85770385837
"	819555411007442",已关闭,11/5/2022 15:12,,,桃木褐30号,1,5730170770,85770385833
"	819555206976984",已关闭,11/5/2022 15:12,11/5/2022 15:12,,桃木褐36号,1,5730170770,85770385839
"	819555110100647",已完成,11/5/2022 15:12,11/5/2022 15:12,11/6/2022 0:46,桃木褐32号,1,5730170770,85770385835
"	819546547020919",已关闭,11/5/2022 15:12,,,桃木褐34号,1,5730170770,85770385837
"	819546609497460",已完成,11/5/2022 15:11,11/5/2022 15:15,11/6/2022 0:46,桃木褐32号,1,5730170770,85770385835
"	819555331411765",已完成,11/5/2022 15:10,11/5/2022 15:10,11/8/2022 16:32,狐狸灰34号,1,5730170770,85770539836
"	819546576681143",已关闭,11/5/2022 15:10,11/5/2022 15:11,,桃木褐30号,1,5730170770,85770385833
"	819546689496293",已完成,11/5/2022 15:10,11/5/2022 15:10,11/6/2022 0:46,桃木褐30号,1,5730170770,85770385833
"	819546991880833",已关闭,11/5/2022 15:10,,,桃木褐36号,1,5730170770,85770385839
